X,Y
3.7769784172661867,0.4316546762589928
3.345323741007194,1.7625899280575539
0.539568345323741,2.8776978417266186
-1.7625899280575539,3.201438848920863
-2.446043165467626,2.913669064748201
-3.5611510791366907,1.9064748201438848
-3.8489208633093526,0.8992805755395683
-3.597122302158273,-0.3237410071942446
-3.201438848920863,-1.1870503597122302
-2.4100719424460433,-2.3381294964028774
0.8273381294964028,-3.597122302158273
2.3381294964028774,-2.2661870503597124
3.6330935251798557,-0.8992805755395683
